PHIF,SW,VSH,BVW,KLOGH,KLOGV,WELL,DEPTH
0.211309,0.965,0.2008,0.203916,76.5077,56.6627,15_9-19 BT2,4050.03
0.218761,0.9555,0.1851,0.209027,121.3757,92.486,15_9-19 BT2,4050.1824
0.21486,0.9747,0.1969,0.209429,88.5002,66.1353,15_9-19 BT2,4050.3348
0.213654,0.9068,0.2088,0.193752,67.6057,49.6895,15_9-19 BT2,4050.4872
0.221133,0.8734,0.2856,0.193148,15.8066,10.6224,15_9-19 BT2,4050.6396
0.211195,0.8967,0.2996,0.189368,9.8516,6.4304,15_9-19 BT2,4050.792
0.195474,0.9464,0.3578,0.18499,2.2058,1.3129,15_9-19 BT2,4050.9444
0.218216,0.8753,0.3531,0.190998,3.7001,2.2737,15_9-19 BT2,4051.0968
0.179597,1.0,0.3874,0.179597,0.8918,0.502,15_9-19 BT2,4051.2492
0.164225,1.0,0.3003,0.164225,4.0846,2.5253,15_9-19 BT2,4051.4016
0.185767,0.982,0.3187,0.182416,4.147,2.5663,15_9-19 BT2,4051.554
0.174447,1.0,0.2788,0.174447,7.6961,4.9475,15_9-19 BT2,4051.7064
0.180106,1.0,0.2691,0.180106,10.4528,6.8477,15_9-19 BT2,4051.8588
0.168765,1.0,0.227,0.168765,20.2816,13.8407,15_9-19 BT2,4052.0112
0.181801,1.0,0.2269,0.181801,25.834,17.8947,15_9-19 BT2,4052.1636
0.19033,0.9966,0.2486,0.189691,19.2878,13.1218,15_9-19 BT2,4052.316
0.185801,1.0,0.25,0.185801,17.2402,11.6479,15_9-19 BT2,4052.4684
0.210534,0.9734,0.2368,0.204943,35.7043,25.2298,15_9-19 BT2,4052.6208
0.179013,1.0,0.2296,0.179013,23.1983,15.9628,15_9-19 BT2,4052.7732
0.220329,1.0,0.2037,0.220329,84.9279,63.3048,15_9-19 BT2,4052.9256
0.215459,1.0,0.2473,0.215459,31.4838,22.0756,15_9-19 BT2,4053.078
